분류,1회 제공량,메뉴,칼로리(kcal),당류(g),단백질(g),나트륨(mg),포화지방(g),카페인(mg)
티,Tall(톨) / 355ml (12 fl oz),아이스 유자 민트 티,145,37,0,5,0,0
티,Tall(톨) / 355ml (12 fl oz),아이스 잉글리쉬 브렉퍼스트 티,0,0,0,0,0,40
티,Tall(톨) / 355ml (12 fl oz),아이스 제주 유기 녹차,0,0,0,0,0,16
티,Tall(톨) / 355ml (12 fl oz),아이스 캐모마일 블렌드 티,0,0,0,0,0,0
티,Tall(톨) / 355ml (12 fl oz),아이스 히비스커스 블렌드 티,0,0,0,0,0,0
티,Tall(톨) / 355ml (12 fl oz),얼 그레이 티,0,0,0,0,0,70
티,Grande(그란데) / 473ml (16 fl oz),유스베리 로즈 티 브리즈,165,38,0,20,0,20
티,Tall(톨) / 355ml (12 fl oz),유스베리 티,0,0,0,0,0,20
티,Tall(톨) / 355ml (12 fl oz),유자 민트 티,235,58,0,10,0,0
티,Tall(톨) / 355ml (12 fl oz),잉글리쉬 브렉퍼스트 티,0,0,0,0,0,70
웹사이트 비노출 메뉴(사이렌오더 영양정보 연동),Tall(톨) / 355ml (12 fl oz),자몽 허니 블랙 티,125,30,0,5,0,70
티,Tall(톨) / 355ml (12 fl oz),제주 유기 녹차,0,0,0,0,0,16
티,Tall(톨) / 355ml (12 fl oz),캐모마일 블렌드 티,0,0,0,0,0,0
티,Tall(톨) / 355ml (12 fl oz),히비스커스 블렌드 티,0,0,0,0,0,0
티,Grande(그란데) / 473ml (16 fl oz),아이스 유스베리 로즈 티 브리즈,120,27,0,15,0,12
웹사이트 비노출 메뉴(사이렌오더 영양정보 연동),Tall(톨) / 355ml (12 fl oz),아이스 자몽 허니 블랙 티,125,30,0,5,0,30
티,Grande(그란데) / 473ml (16 fl oz),제주 그린 티 브리즈,220,31,0,0,0,42
티,Grande(그란데) / 473ml (16 fl oz),제주 키위 오션 그린티,195,37,0,15,0,10
티,Grande(그란데) / 473ml (16 fl oz),폼폼 민트 티,210,42,0,5,0,0
티,Grande(그란데) / 473ml (16 fl oz),폼폼 유스베리 티,210,42,0,5,0,10
티,Tall(톨) / 355ml (12 fl oz),돌체 블랙 밀크 티,250,34,8,115,5,60
티,Tall(톨) / 355ml (12 fl oz),아이스 돌체 블랙 밀크 티,210,31,6,85,3.7,35
티,Tall(톨) / 355ml (12 fl oz),아이스 제주 유기농 말차로 만든 라떼,155,16,6,95,3.6,60
티,Tall(톨) / 355ml (12 fl oz),아이스 차이 티 라떼,190,31,5,70,3,70
티,Grande(그란데) / 473ml (16 fl oz),아이스 허니 얼 그레이 밀크 티,220,31,4,65,2.4,52
웹사이트 비노출 메뉴(사이렌오더 영양정보 연동),Tall(톨) / 355ml (12 fl oz),제주 유기농 말차로 만든 라떼,205,20,9,130,5,60
티,Tall(톨) / 355ml (12 fl oz),차이 티 라떼,200,31,6,70,3,70
티,Grande(그란데) / 473ml (16 fl oz),허니 얼 그레이 밀크 티,395,45,12,210,8,70
기타 제조 음료,Tall(톨) / 355ml (12 fl oz),시그니처 핫 초콜릿,500,52,15,105,9,15
기타 제조 음료,Tall(톨) / 355ml (12 fl oz),아이스 시그니처 초콜릿,325,32,10,70,7,15
기타 제조 음료,Grande(그란데) / 473ml (16 fl oz),플러피 판다 아이스 초콜릿,415,39,11,150,16,0
기타 제조 음료,Grande(그란데) / 473ml (16 fl oz),플러피 판다 핫 초콜릿,470,48,12,160,17,0
기타 제조 음료,,레드 파워 스매셔,370,67,1,40,0,25
기타 제조 음료,Grande(그란데) / 473ml (16 fl oz),스타벅스 슬래머,235,55,0,0,0,0
기타 제조 음료,Tall(톨) / 355ml (12 fl oz),스팀 우유,215,18,13,173,7,0
기타 제조 음료,Grande(그란데) / 473ml (16 fl oz),아이스 제주 까망 라떼,440,45,10,210,11,0
기타 제조 음료,Tall(톨) / 355ml (12 fl oz),우유,240,18,12,200,8,0
기타 제조 음료,Grande(그란데) / 473ml (16 fl oz),제주 까망 라떼,445,49,13,250,7,0
기타 제조 음료,Grande(그란데) / 473ml (16 fl oz),제주 쑥쑥 라떼,425,50,16,210,9,0
스타벅스 주스(병음료),190 ml,기운내라임 190ML,90,22,1,5,0,0
스타벅스 주스(병음료),190 ml,파이팅 청귤 190ML,95,22,1,5,0,0
스타벅스 주스(병음료),190 ml,한방에 쭉 감당 190ML,100,23,1,10,0,0
스타벅스 주스(병음료),190 ml,딸기주스 190ML,110,25,0,30,0,0
스타벅스 주스(병음료),190 ml,망고주스 190ML,117,23,1,15,0,0
스타벅스 주스(병음료),190 ml,스타 루비 자몽 스위트 190ML,129,32,0.2,5,0,0
스타벅스 주스(병음료),591 ml,스타 루비 자몽 스위트 591ML,406,100,0.6,10,0,0
스타벅스 주스(병음료),190 ml,유기농 오렌지 100% 주스 190ML,95,20,2,5,0,0
스타벅스 주스(병음료),591 ml,유기농 오렌지 100% 주스 591ML,290,62,6,10,0.6,0
스타벅스 주스(병음료),190 ml,케일&사과주스 190ML,105,26,0,25,0,0
스타벅스 주스(병음료),190 ml,토마토주스 190ML,70,16,1,120,0,0
스타벅스 주스(병음료),190 ml,핑크 용과 레모네이드 190ML,88,19,0,5,0,0
스타벅스 주스(병음료),190 ml,한라봉주스 190ML,78,16,0.5,10,0,0
스타벅스 주스(병음료),190 ml,햇사과 주스 190ML,113,27,0.2,10,0,0
스타벅스 주스(병음료),190 ml,딸기 가득 요거트 190ML,155,21,4,50,3.2,0
스타벅스 주스(병음료),190 ml,블루베리 요거트 190ML,155,18,5,70,3.6,0
스타벅스 주스(병음료),190 ml,애플망고 코코넛 190ML,244,21,3,9,11,0
스타벅스 주스(병음료),190 ml,한라봉 코코넛 190ML,236,19,3,9,10,0
2022 Autumn,Tall(톨) / 355ml (12 fl oz),블랙 글레이즈드 라떼,385,37,11,220,14,75
2022 Autumn,Tall(톨) / 355ml (12 fl oz),아이스 블랙 글레이즈드 라떼,305,31,7,160,11,75
2022 Autumn,Tall(톨) / 355ml (12 fl oz),그린 애플 캐모마일 티,155,37,0,15,0,0
2022 Autumn,Tall(톨) / 355ml (12 fl oz),호두 블랙 티 라떼,320,29,4,190,5,70
2022 Autumn,Tall(톨) / 355ml (12 fl oz),아이스 호두 블랙 티 라떼,245,26,3,95,4.7,15
